,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"2º Sem",8595,"CA","Conservação de Alimentos","Mestrado em Tecnologia e Segurança Alimentar","Fernando José Cebola Lidon","Benilde Simões Mendes"
"2º Sem",3884,"CRBCII","Conservação e Restauro de Bens Culturais II","Mestrado em Conservação e Restauro","Leslie Carlyle","Micaela Margarida Ferreira de Sousa"
"2º Sem",7414,"CPr","Conservação Preventiva","Licenciatura em Conservação - Restauro","Maria Filomena Meireles Abrantes de Macedo Dinis","Maria Filomena Meireles Abrantes de Macedo Dinis"
"2º Sem",7414,"CPr","Conservação Preventiva","Licenciatura em Química Aplicada","Maria Filomena Meireles Abrantes de Macedo Dinis","Maria Filomena Meireles Abrantes de Macedo Dinis"
"2º Sem",7414,"CPr","Conservação Preventiva","Mestrado em Ciências da  Conservação","Maria Filomena Meireles Abrantes de Macedo Dinis","Maria Filomena Meireles Abrantes de Macedo Dinis"
"2º Sem",8538,"CO","Controlo Óptimo","Mestrado em Matemática e Aplicações","Nadir Arada","Maria Luísa Martins Macedo de Faria Mascarenhas"
"2º Sem",3754,"CC","Controlo por Computador","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Rui Alexandre Nunes Neves da Silva","Fernando José Almeida Vieira do Coito"
"2º Sem",3755,"CEE","Conversão Electromecânica de Energia","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Mário Fernando Ventim Neves","Amadeu Leão Santos Rodrigues"
"2º Sem",8467,"CESBE/E","Criação de Empresas no Sector da Bio-Energia/Empreendedorismo","Mestrado em Energia e Bioenergia","Mário Nuno Farelo","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",9557,"EFis","Criogenia II","Programa Doutoral em Engenharia Física","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"2º Sem",7484,"CrQm","Cristaloquímica","Licenciatura em Engenharia de Materiais","João Pedro Botelho Veiga","Regina da Conceição Corredeira Monteiro"
"2º Sem",7484,"CrQm","Cristaloquímica","Mestrado em Engenharia de Materiais","João Pedro Botelho Veiga","Regina da Conceição Corredeira Monteiro"
"2º Sem",7484,"CrQm","Cristaloquímica","Programa Doutoral em Ciência e Engenharia de Materiais","João Pedro Botelho Veiga","Regina da Conceição Corredeira Monteiro"
"2º Sem",9593,"CDC 2","Currículo e Didáctica das Ciências II","Mestrado em Ensino de Biologia e da Geologia","João José de Carvalho Correia de Freitas","Vítor Manuel Neves Duarte Teodoro"
"2º Sem",9593,"CDC 2","Currículo e Didáctica das Ciências II","Mestrado em Ensino de Física e de Química","João José de Carvalho Correia de Freitas","Vítor Manuel Neves Duarte Teodoro"
"2º Sem",8411,"DW","Data Warehousing","Mestrado em Engenharia Informática","João Carlos Gomes Moura Pires","Pedro Manuel Corrêa Calvente Barahona"
"2º Sem",7437,"DPS","Degradação e Protecção de Superfícies","Mestrado em Engenharia de Materiais","Rui Jorge Cordeiro Silva","Francisco Manuel Braz Fernandes"
"2º Sem",7437,"DPS","Degradação e Protecção de Superfícies","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Rui Jorge Cordeiro Silva","Francisco Manuel Braz Fernandes"
"2º Sem",7437,"DPS","Degradação e Protecção de Superfícies","Mestrado Integrado em Engenharia Química e Bioquímica","Rui Jorge Cordeiro Silva","Francisco Manuel Braz Fernandes"
"2º Sem",9368,"DAC","Desenho Assistido por Computador","Mestrado Integrado em Engenharia Civil","Miguel José das Neves Pires Amado","Miguel José das Neves Pires Amado"
"2º Sem",3644,"DAC","Desenho Assistido por Computador","Mestrado Integrado em Engenharia Mecânica","Rui Fernando dos Santos Pereira Martins","António Manuel Flores Romão de Azevedo Gonçalves Coelho"
"2º Sem",3849,"DT","Desenho Técnico","Mestrado Integrado em Engenharia do Ambiente","António Luís Moreira de Carvalho Perestrelo","Lia Maldonado Teles de Vasconcelos"
"2º Sem",7451,"DT.AC","Desenho Técnico Assistido por Computador","Licenciatura em Engenharia de Materiais","Carlos Alberto Nunes de Carvalho","Elvira Maria Correia Fortunato"
"2º Sem",7451,"DT.AC","Desenho Técnico Assistido por Computador","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Carlos Alberto Nunes de Carvalho","Elvira Maria Correia Fortunato"
"2º Sem",9775,"DPA","Desenvolvimento de Produtos Alimentares","Estudos Pós-Graduados em Ciências Gastronómicas","Maria Paulina Estorninho Neves da Mata Pereira","Maria Paulina Estorninho Neves da Mata Pereira"
"2º Sem",7418,"DCCV","Diagnóstico e Conservação de Cerâmicos e Vidro","Licenciatura em Conservação - Restauro","Augusta Raquel Ferreira Moniz Lima","Márcia Gomes Vilarigues"
"2º Sem",2680,"DCDG","Diagnóstico e Conservação de Documentos Gráficos","Licenciatura em Conservação - Restauro","Maria da Conceição Lopes Casanova","Maria da Conceição Lopes Casanova"
"2º Sem",2677,"DCM","Diagnóstico e Conservação de Metais","Licenciatura em Conservação - Restauro","Emanuela Sara Hanson Leite Fragoso","Rui Jorge Cordeiro Silva"
"2º Sem",7573,"DMOL","Diagnóstico Molecular","Mestrado em Genética Molecular e Biomedicina","Isabel Maria Godinho de Sá Nogueira","Isabel Maria Godinho de Sá Nogueira"
"2º Sem",7219,"DF","Dinâmica de Fluidos","Mestrado Integrado em Engenharia e Gestão Industrial","José Manuel Paixão Conde","António Rafael Janeiro Borges"
"2º Sem",7219,"DF","Dinâmica de Fluidos","Mestrado Integrado em Engenharia Física","José Manuel Paixão Conde","António Rafael Janeiro Borges"
"2º Sem",7424,"DF2","Dinâmica dos Fluidos II","Mestrado Integrado em Engenharia Mecânica","João José Lopes de Carvalho","António Rafael Janeiro Borges"
"2º Sem",7419,"DPt","Direito do Património","Licenciatura em Conservação - Restauro","João Martins Claro","João Martins Claro"
"2º Sem",7419,"DPt","Direito do Património","Mestrado em Ciências da  Conservação","João Martins Claro","João Martins Claro"
"2º Sem",8890,"DissBio","Dissertação em Bioorgânica","Mestrado em Bioorgânica","Pedro Jorge Macedo de Abreu","Pedro Jorge Macedo de Abreu"
"2º Sem",8891,"DissBt","Dissertação em Biotecnologia","Mestrado em Biotecnologia","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9275,"DEGI","Dissertação em Eng. e Gestão Industrial","Mestrado Integrado em Engenharia e Gestão Industrial","Virgílio António da Cruz Machado","Virgílio António da Cruz Machado"
"2º Sem",9276,"DEM","Dissertação em Eng. Mecânica","Mestrado Integrado em Engenharia Mecânica","José Fernando de Almeida Dias","José Fernando de Almeida Dias"
"2º Sem",8911,"DissEBio","Dissertação em Engenharia Biomédica","Mestrado Integrado em Engenharia Biomédica","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"2º Sem",8897,"DissEG","Dissertação em Engenharia Civil (Estruturas e Geotecnia)","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Corneliu Cismasiu","Corneliu Cismasiu"
"2º Sem",8899,"DissEMt","Dissertação em Engenharia de Materiais","Mestrado em Engenharia de Materiais","Alexandre José da Costa Velhinho","Francisco Manuel Braz Fernandes"
"2º Sem",9039,"DissEA","Dissertação em Engenharia do Ambiente","Mestrado Integrado em Engenharia do Ambiente","Maria da Graça Madeira Martinho","Maria da Graça Madeira Martinho"
"2º Sem",9014,"DissEEC","Dissertação em Engenharia Electrotécnica e de Computadores","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Paulo da Costa Luís da Fonseca Pinto","Paulo da Costa Luís da Fonseca Pinto"
"2º Sem",8912,"DissEF","Dissertação em Engenharia Física","Mestrado Integrado em Engenharia Física","Orlando Manuel Neves Duarte Teodoro","Orlando Manuel Neves Duarte Teodoro"
"2º Sem",8914,"DissEQB","Dissertação em Engenharia Química e Bioquímica","Mestrado Integrado em Engenharia Química e Bioquímica","José Paulo Barbosa Mota","José Paulo Barbosa Mota"
"2º Sem",9399,"DissGeot","Dissertação em Geotecnia","Mestrado Integrado em Engenharia Civil","Nuno Manuel da Costa Guerra","Nuno Manuel da Costa Guerra"
"2º Sem",9540,"EBiom","Dosimetria","Programa Doutoral em Engenharia Biomédica","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"2º Sem",5346,"ET","Ecologia Terrestre","Licenciatura em Biologia Celular e Molecular","Maria Teresa Calvão Rodrigues","Maria Teresa Calvão Rodrigues"
"2º Sem",5346,"ET","Ecologia Terrestre","Mestrado Integrado em Engenharia do Ambiente","Maria Teresa Calvão Rodrigues","Maria Teresa Calvão Rodrigues"
"2º Sem",3653,"E","Economia","Licenciatura em Engenharia Geológica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",3653,"E","Economia","Licenciatura em Engenharia Informática","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",3653,"E","Economia","Mestrado Integrado em Engenharia e Gestão Industrial","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",3653,"E","Economia","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",3653,"E","Economia","Mestrado Integrado em Engenharia Física","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",3653,"E","Economia","Mestrado Integrado em Engenharia Mecânica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes"
"2º Sem",8713,"EI","Economia da Inovação","Mestrado em Engenharia Informática","Maria Luísa Silva Ferreira Lopes","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",8713,"EI","Economia da Inovação","Programa Doutoral em Bioquímica","Maria Luísa Silva Ferreira Lopes","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",8140,"EcEmp","Economia e Empreendedorismo","Licenciatura em Engenharia de Telecomunicações e Computadores","Maria Luísa Silva Ferreira Lopes","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",8140,"EcEmp","Economia e Empreendedorismo","Mestrado em Engenharia Informática","Maria Luísa Silva Ferreira Lopes","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",9384,"EEmpreed","Economia e Empreendedorismo C","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Fernanda Antonia Josefa Llussá","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",9384,"EEmpreed","Economia e Empreendedorismo C","Mestrado Integrado em Engenharia Civil","Fernanda Antonia Josefa Llussá","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",9785,"EGI","Economia e Gestão da Inovação","Programa Doutoral em Avaliação de Tecnologia","Maria Luísa Silva Ferreira Lopes","Duarte Miguel Machado Carneiro de Brito"
"2º Sem",9854,"EES","Economia Ecológica e Sustentabilidade","Programa Doutoral em Ambiente","Rui Jorge Fernandes Ferreira Santos","Maria Paula Baptista da Costa Antunes"
"2º Sem",5305,"Ectx","Ecotoxicologia","Mestrado Integrado em Engenharia do Ambiente","Fernando Henrique da Silva Reboredo","Benilde Simões Mendes"
"2º Sem",7897,"EA I","Ecotoxicologia de Alimentos I","Mestrado em Tecnologia e Segurança Alimentar","Maria Paula Amaro de Castilho Duarte","Benilde Simões Mendes"
"2º Sem",9381,"Ed","Edificações","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Daniel Aelenei","Fernando Manuel Anjos Henriques"
"2º Sem",9381,"Ed","Edificações","Mestrado Integrado em Engenharia Civil","Daniel Aelenei","Fernando Manuel Anjos Henriques"
"2º Sem",9541,"EBiom","Efeitos da Radiação em Moléculas Biológicas","Programa Doutoral em Engenharia Biomédica","Paulo Manuel Assis Loureiro Limão Vieira","Paulo Manuel Assis Loureiro Limão Vieira"
"2º Sem",8602,"ED","Elaboração de Dissertação","Mestrado em Engenharia Informática","Pedro Manuel Corrêa Calvente Barahona","Pedro Manuel Corrêa Calvente Barahona"
"2º Sem",3652,"EME","Electrotécnica e Máquinas Eléctricas","Mestrado Integrado em Engenharia Mecânica","João Miguel Murta Pina","Amadeu Leão Santos Rodrigues"
"2º Sem",3700,"EG","Electrotécnica Geral","Mestrado Integrado em Engenharia Biomédica","João Miguel Murta Pina","Amadeu Leão Santos Rodrigues"
"2º Sem",3700,"EG","Electrotécnica Geral","Mestrado Integrado em Engenharia e Gestão Industrial","João Miguel Murta Pina","Amadeu Leão Santos Rodrigues"
"2º Sem",3700,"EG","Electrotécnica Geral","Mestrado Integrado em Engenharia Física","João Miguel Murta Pina","Amadeu Leão Santos Rodrigues"
"2º Sem",3700,"EG","Electrotécnica Geral","Mestrado Integrado em Engenharia Química e Bioquímica","João Miguel Murta Pina","Amadeu Leão Santos Rodrigues"
"2º Sem",1364,"ElApl","Electrónica Aplicada","Mestrado Integrado em Engenharia Biomédica","Yuri Fonseca da Silva Nunes","Yuri Fonseca da Silva Nunes"
"2º Sem",1364,"ElApl","Electrónica Aplicada","Mestrado Integrado em Engenharia Física","Yuri Fonseca da Silva Nunes","Yuri Fonseca da Silva Nunes"
"2º Sem",8859,"EP","Electrónica de Potência","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","Stanimir Stoyanov Valtchev","Stanimir Stoyanov Valtchev"
"2º Sem",7315,"EPA","Electrónica de Potência em Accionamentos","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Stanimir Stoyanov Valtchev","Stanimir Stoyanov Valtchev"
"2º Sem",7315,"EPA","Electrónica de Potência em Accionamentos","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Stanimir Stoyanov Valtchev","Stanimir Stoyanov Valtchev"
"2º Sem",3749,"E1","Electrónica I","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Nuno Filipe Silva Veríssimo Paulino","Adolfo Sanchez Steiger Garção"
"2º Sem",3749,"E1","Electrónica I","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Nuno Filipe Silva Veríssimo Paulino","Adolfo Sanchez Steiger Garção"
"2º Sem",7314,"E4","Electrónica IV","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Luís Augusto Bica Gomes de Oliveira","Adolfo Sanchez Steiger Garção"
"2º Sem",7314,"E4","Electrónica IV","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Luís Augusto Bica Gomes de Oliveira","Adolfo Sanchez Steiger Garção"
"2º Sem",8787,"EAA I","Elementos de Análise e Álgebra I","Licenciatura em Bioquímica","Maria Luísa Martins Macedo de Faria Mascarenhas","Maria Luísa Martins Macedo de Faria Mascarenhas"
"2º Sem",8787,"EAA I","Elementos de Análise e Álgebra I","Licenciatura em Química Aplicada","Maria Luísa Martins Macedo de Faria Mascarenhas","Maria Luísa Martins Macedo de Faria Mascarenhas"
"2º Sem",8789,"EAA II","Elementos de Análise e Álgebra II","Licenciatura em Bioquímica","Ana Margarida Fernandes Ribeiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"2º Sem",8789,"EAA II","Elementos de Análise e Álgebra II","Licenciatura em Química Aplicada","Ana Margarida Fernandes Ribeiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"2º Sem",7158,"ETPC","Elementos de Topografia e Processos Construtivos","Mestrado Integrado em Engenharia do Ambiente","David José Fonseca Pereira","Fernando José Pires Santana"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Bioquímica","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Conservação e Restauro","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Engenharia Biomédica","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Engenharia Física","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Engenharia Química e Bioquímica","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Física","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",9534,"CSE","Empreendedorismo","Programa Doutoral em Química","Susana Filipe Barreiros","Susana Filipe Barreiros"
"2º Sem",7316,"EVr","Empresas Virtuais","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"2º Sem",7316,"EVr","Empresas Virtuais","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Luís Manuel Camarinha de Matos","Luís Manuel Camarinha de Matos"
"2º Sem",5344,"EPI","Energia e Processos Industriais","Mestrado Integrado em Engenharia do Ambiente","Maria Helena Ribeiro da Silva Farrall","Maria da Graça Madeira Martinho"
"2º Sem",7403,"EBII","Engenharia Bioquímica II","Mestrado em Biotecnologia","Rui Manuel Freitas Oliveira","Rui Manuel Freitas Oliveira"
"2º Sem",7403,"EBII","Engenharia Bioquímica II","Mestrado Integrado em Engenharia Química e Bioquímica","Rui Manuel Freitas Oliveira","Rui Manuel Freitas Oliveira"
"2º Sem",7403,"EBII","Engenharia Bioquímica II","Programa Doutoral em Bioquímica","Rui Manuel Freitas Oliveira","Rui Manuel Freitas Oliveira"
"2º Sem",7403,"EBII","Engenharia Bioquímica II","Programa Doutoral em Engenharia Química e Bioquímica","Rui Manuel Freitas Oliveira","Rui Manuel Freitas Oliveira"
"2º Sem",7403,"EBII","Engenharia Bioquímica II","Programa Doutoral em Química","Rui Manuel Freitas Oliveira","Rui Manuel Freitas Oliveira"
"2º Sem",8286,"ERDS","Engenharia de Requisitos e Desenho de Software","Mestrado em Engenharia Informática","João Baptista da Silva Araújo Júnior","Ana Maria Dinis Moreira"
"2º Sem",4094,"EngEcn","Engenharia Económica","Licenciatura em Engenharia de Telecomunicações e Computadores","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado em Engenharia e Gestão Industrial","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado em Engenharia Mecânica","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado Integrado em Engenharia e Gestão Industrial","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",4094,"EngEcn","Engenharia Económica","Mestrado Integrado em Engenharia Química e Bioquímica","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",9734,"EE d","Engenharia Económica D","Programa Doutoral em Engenharia Industrial","António Carlos Bárbara Grilo","Virgílio António da Cruz Machado"
"2º Sem",7112,"EG","Engenharia Genética","Licenciatura em Biologia Celular e Molecular","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ana Madalena Peres de Drumond Ludovice Mendes Gomes"
"2º Sem",7112,"EG","Engenharia Genética","Licenciatura em Bioquímica","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ana Madalena Peres de Drumond Ludovice Mendes Gomes"
"2º Sem",7112,"EG","Engenharia Genética","Licenciatura em Química Aplicada","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ana Madalena Peres de Drumond Ludovice Mendes Gomes"
"2º Sem",7112,"EG","Engenharia Genética","Programa Doutoral em Bioquímica","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ana Madalena Peres de Drumond Ludovice Mendes Gomes"
"2º Sem",7112,"EG","Engenharia Genética","Programa Doutoral em Química","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ana Madalena Peres de Drumond Ludovice Mendes Gomes"
"2º Sem",8784,"ES","Engenharia Sísmica","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","João Paulo Bilé Serra","João Paulo Bilé Serra"
"2º Sem",7607,"ES","Engenharia Sísmica","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","João Paulo Bilé Serra","João Paulo Bilé Serra"
"2º Sem",7607,"ES","Engenharia Sísmica","Mestrado Integrado em Engenharia Civil","João Paulo Bilé Serra","João Paulo Bilé Serra"
"2º Sem",7167,"EATIG","Estatística Ambiental e Tecnologia de Informação Geográfica","Mestrado Integrado em Engenharia do Ambiente","Maria Júlia Fonseca de Seixas","Maria Júlia Fonseca de Seixas"
"2º Sem",3121,"EA","Estatística Aplicada","Licenciatura em Matemática","Pedro Alexandre da Rosa Corte Real","Carlos Manuel Agra Coelho"
"2º Sem",3121,"EA","Estatística Aplicada","Mestrado em Engenharia Informática","Pedro Alexandre da Rosa Corte Real","Carlos Manuel Agra Coelho"
"2º Sem",8560,"Est","Estágio","Licenciatura em Química Aplicada","João Montargil Aires de Sousa","João Montargil Aires de Sousa"
"2º Sem",4005,"ECRT","Estágio em Contexto Real de Trabalho","Estudos Pós-Graduados para Técnico Superior de Segurança e Higiene do Trabalho","José Martin Miquel Cabeças","José Martin Miquel Cabeças"
"2º Sem",8493,"E. II","Estágio II","Mestrado em Conservação e Restauro","Maria João Seixas de Melo","Maria João Seixas de Melo"
"2º Sem",8161,"EP","Estágio Profissionalizante","Licenciatura em Engenharia Informática","João Ricardo Viegas da Costa Seco","Pedro Abílio Duarte de Medeiros"
"2º Sem",9369,"Est","Estática","Mestrado Integrado em Engenharia Civil","João Carlos Gomes Rocha de Almeida","João Carlos Gomes Rocha de Almeida"
"2º Sem",7657,"EBA2","Estruturas de Betão Armado II","Mestrado Integrado em Engenharia Civil","Valter José da Guia Lúcio","Valter José da Guia Lúcio"
"2º Sem",8163,"ET","Estudo do Trabalho","Mestrado Integrado em Engenharia e Gestão Industrial","José Martin Miquel Cabeças","José Martin Miquel Cabeças"
"2º Sem",9550,"EAC II","Estudos Avançados em Conservação II","Programa Doutoral em Conservação e Restauro","Maria João Seixas de Melo","Fernando Jorge da Silva Pina"
"2º Sem",8840,"ATEL 2","Estúdio de Vidro II","Mestrado em Arte e Ciência do Vidro","Robert Wiley","Robert Wiley"
"2º Sem",9231,"ESE","Experimental Software Engineering","Programa Doutoral em Informática","Fernando Manuel Pereira da Costa Brito e Abreu","Ana Maria Dinis Moreira"
"2º Sem",7338,"FTII","Fenómenos de Transferência II","Mestrado Integrado em Engenharia Química e Bioquímica","Isabel Maria Rola Coelhoso","João Paulo Serejo Goulão Crespo"
"2º Sem",8832,"FCT","Filosofia da Ciência e da Tecnologia","Programa Doutoral em História, Filosofia e Património da Ciência e da Tecnologia","José Luís Toivola Câmara Leme","José Luís Toivola Câmara Leme"
"2º Sem",3086,"Fslg","Fisiologia","Mestrado Integrado em Engenharia Biomédica","Pedro Manuel Freire Costa","Mário António Basto Forjaz Secca"
"2º Sem",7123,"F G","Fisiologia Geral","Licenciatura em Biologia Celular e Molecular","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",7123,"F G","Fisiologia Geral","Licenciatura em Ciências da Natureza","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",8795,"FG (A)","Fisiologia Geral A","Licenciatura em Bioquímica","Teresa Maria Fonseca de Moura","Teresa Maria Fonseca de Moura"
"2º Sem",7663,"F.Inf.","Física","Licenciatura em Engenharia Informática","Maria Adelaide de Almeida Pedro de Jesus","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",9506,"Fis","Física Atómica Avançada","Programa Doutoral em Física","José Paulo Moreira dos Santos","José Paulo Moreira dos Santos"
"2º Sem",3780,"FAM","Física Atómica e Molecular B","Licenciatura em Bioquímica","António Carlos Simões Paiva","José Paulo Moreira dos Santos"
"2º Sem",3780,"FAM","Física Atómica e Molecular B","Licenciatura em Química Aplicada","António Carlos Simões Paiva","José Paulo Moreira dos Santos"
"2º Sem",3780,"FAM","Física Atómica e Molecular B","Mestrado Integrado em Engenharia Biomédica","António Carlos Simões Paiva","José Paulo Moreira dos Santos"
"2º Sem",3780,"FAM","Física Atómica e Molecular B","Mestrado Integrado em Engenharia Física","António Carlos Simões Paiva","José Paulo Moreira dos Santos"
"2º Sem",9507,"Fis","Física da Matéria Condensada Avançada","Programa Doutoral em Física","João Paulo Lança Pinto Casquilho","João Paulo Lança Pinto Casquilho"
"2º Sem",9542,"EBiom","Física de Sistemas Macromoleculares Funcionais","Programa Doutoral em Engenharia Biomédica","Maria de Fátima Guerreiro da Silva Campos Raposo","Maria de Fátima Guerreiro da Silva Campos Raposo"
"2º Sem",3871,"FES","Física do Estado Sólido","Mestrado Integrado em Engenharia Física","Maria de Fátima Guerreiro da Silva Campos Raposo","João Paulo Lança Pinto Casquilho"
"2º Sem",8790,"FG","Física Geral","Licenciatura em Bioquímica","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"2º Sem",8790,"FG","Física Geral","Licenciatura em Química Aplicada","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"2º Sem",3648,"F1","Física I","Licenciatura em Biologia Celular e Molecular","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Licenciatura em Ciências da Natureza","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Licenciatura em Engenharia de Telecomunicações e Computadores","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia do Ambiente","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia Química e Bioquímica","Orlando Manuel Neves Duarte Teodoro","Maria Adelaide de Almeida Pedro de Jesus"
"2º Sem",3082,"F.1B","Física I B","Mestrado Integrado em Engenharia Biomédica","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"2º Sem",7396,"F.IC","Física I C","Licenciatura em Conservação - Restauro","Fernando António de Freitas Costa Parente","Fernando António de Freitas Costa Parente"
"2º Sem",3649,"F2","Física II","Licenciatura em Engenharia de Materiais","Ana Cristina Gomes da Silva","João Paulo Lança Pinto Casquilho"
"2º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Ana Cristina Gomes da Silva","João Paulo Lança Pinto Casquilho"
"2º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia e Gestão Industrial","Ana Cristina Gomes da Silva","João Paulo Lança Pinto Casquilho"
"2º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia Mecânica","Ana Cristina Gomes da Silva","João Paulo Lança Pinto Casquilho"
"2º Sem",3775,"F3","Física III","Licenciatura em Engenharia de Telecomunicações e Computadores","José Paulo Moreira dos Santos","José Paulo Moreira dos Santos"
