,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"1º Sem",7910,"AM.1E","Análise Matemática I E","Licenciatura em Engenharia Informática","José Maria Nunes de Almeida Gonçalves Gomes","Bento José Carrilho Miguens Louro"
"1º Sem",5002,"AM.2B","Análise Matemática II B","Licenciatura em Engenharia de Telecomunicações e Computadores","Rui Alberto Pimenta Rodrigues","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5002,"AM.2B","Análise Matemática II B","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Rui Alberto Pimenta Rodrigues","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5002,"AM.2B","Análise Matemática II B","Mestrado Integrado em Engenharia Física","Rui Alberto Pimenta Rodrigues","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Licenciatura em Ciências da Natureza","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Licenciatura em Engenharia de Materiais","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Licenciatura em Engenharia Geológica","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Mestrado Integrado em Engenharia Civil","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5003,"AM .2c","Análise Matemática II C","Mestrado Integrado em Engenharia do Ambiente","Marta Cristina Vieira Faias Mateus","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7541,"AM.2D","Análise Matemática II D","Mestrado Integrado em Engenharia Biomédica","António José Mesquita da Cunha Machado Malheiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7541,"AM.2D","Análise Matemática II D","Mestrado Integrado em Engenharia e Gestão Industrial","António José Mesquita da Cunha Machado Malheiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7541,"AM.2D","Análise Matemática II D","Mestrado Integrado em Engenharia Mecânica","António José Mesquita da Cunha Machado Malheiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7541,"AM.2D","Análise Matemática II D","Mestrado Integrado em Engenharia Química e Bioquímica","António José Mesquita da Cunha Machado Malheiro","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7996,"AMIIE","Análise Matemática II E","Licenciatura em Engenharia Informática","Maria Fernanda Alves da Veiga de Oliveira","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7804,"AM.3A","Análise Matemática III A","Licenciatura em Matemática","Elvira Júlia Conceição Matias Coimbra","Elvira Júlia Conceição Matias Coimbra"
"1º Sem",5005,"AM.3b","Análise Matemática III B","Licenciatura em Engenharia de Telecomunicações e Computadores","João de Deus Mota Silva Marques","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5005,"AM.3b","Análise Matemática III B","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João de Deus Mota Silva Marques","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5005,"AM.3b","Análise Matemática III B","Mestrado Integrado em Engenharia Física","João de Deus Mota Silva Marques","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Licenciatura em Engenharia de Materiais","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Licenciatura em Engenharia Geológica","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Licenciatura em Engenharia Informática","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Mestrado Integrado em Engenharia Civil","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",5004,"AM.3c","Análise Matemática III C","Mestrado Integrado em Engenharia do Ambiente","Rogério Ferreira Martins","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7544,"AM.3D","Análise Matemática III D","Mestrado Integrado em Engenharia Biomédica","António Patrício Alexandre","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7544,"AM.3D","Análise Matemática III D","Mestrado Integrado em Engenharia e Gestão Industrial","António Patrício Alexandre","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7544,"AM.3D","Análise Matemática III D","Mestrado Integrado em Engenharia Mecânica","António Patrício Alexandre","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",7544,"AM.3D","Análise Matemática III D","Mestrado Integrado em Engenharia Química e Bioquímica","António Patrício Alexandre","Maria Luísa Martins Macedo de Faria Mascarenhas"
"1º Sem",8543,"ANEDP 2","Análise Numérica das Equações Diferenciais Parciais II","Mestrado em Matemática e Aplicações","Luís Manuel Trabucho de Campos","Luís Manuel Trabucho de Campos"
"1º Sem",7807,"AN.1","Análise Numérica I","Licenciatura em Matemática","Elvira Júlia Conceição Matias Coimbra","Elvira Júlia Conceição Matias Coimbra"
"1º Sem",8684,"ASPE","Análise Social e Política da Educação","Programa Doutoral em Ciências da Educação","Mariana Teresa Gaio Alves","Vítor Manuel Neves Duarte Teodoro"
"1º Sem",9600,"APC c","Aspectos do Pensamento  Contemporâneo C","Mestrado em Ensino de Biologia e da Geologia","Christopher Damien Auretta","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",9600,"APC c","Aspectos do Pensamento  Contemporâneo C","Mestrado em Ensino de Física e de Química","Christopher Damien Auretta","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",1087,"APC","Aspectos do Pensamento Contemporâneo","Mestrado em Ensino da Matemática","Christopher Damien Auretta","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",8484,"AGP","Avaliação e Gestão de Projecto","Mestrado em Engenharia e Gestão da Água","David José Fonseca Pereira","David José Fonseca Pereira"
"1º Sem",8737,"ASP","Avaliação e Selecção de Projectos","Estudos Pós-Graduados em Gestão de Projectos","Virgílio António da Cruz Machado","Virgílio António da Cruz Machado"
"1º Sem",7805,"ALG.1","Álgebra I","Licenciatura em Matemática","Maria de Fátima Vale de Gato Santos Rodrigues","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5239,"ALGA B","Álgebra Linear e Geometria Analítica B","Licenciatura em Engenharia de Telecomunicações e Computadores","Gonçalo Jorge Trigo Neri Tabuada","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5239,"ALGA B","Álgebra Linear e Geometria Analítica B","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Gonçalo Jorge Trigo Neri Tabuada","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5239,"ALGA B","Álgebra Linear e Geometria Analítica B","Mestrado Integrado em Engenharia Física","Gonçalo Jorge Trigo Neri Tabuada","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Licenciatura em Ciências da Natureza","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Licenciatura em Engenharia de Materiais","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Licenciatura em Engenharia Geológica","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Mestrado Integrado em Engenharia Civil","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",5240,"ALGA C","Álgebra Linear e Geometria Analítica C","Mestrado Integrado em Engenharia do Ambiente","Isabel Maria da Silva Cabral Inglês Esquivel","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7921,"ALGA  D","Álgebra Linear e Geometria Analítica D","Mestrado Integrado em Engenharia Biomédica","Carlos Manuel Saiago","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7921,"ALGA  D","Álgebra Linear e Geometria Analítica D","Mestrado Integrado em Engenharia e Gestão Industrial","Carlos Manuel Saiago","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7921,"ALGA  D","Álgebra Linear e Geometria Analítica D","Mestrado Integrado em Engenharia Mecânica","Carlos Manuel Saiago","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7921,"ALGA  D","Álgebra Linear e Geometria Analítica D","Mestrado Integrado em Engenharia Química e Bioquímica","Carlos Manuel Saiago","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8001,"ALGA.E","Álgebra Linear e Geometria Analítica E","Licenciatura em Engenharia Informática","Maria do Rosário Silva Franco Fernandes","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",7798,"AL I","Álgebra Linear I","Licenciatura em Matemática","Júlia Maria Nunes Loureiro Vaz de Carvalho","Júlia Maria Nunes Loureiro Vaz de Carvalho"
"1º Sem",8531,"AMA","Álgebra Multilinear e Aplicações","Mestrado em Matemática e Aplicações","Maria de Fátima Vale de Gato Santos Rodrigues","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",8456,"BMEPB","Balanços Materiais e Energéticos da Produção de Biomassa","Mestrado em Energia e Bioenergia","Fernando José Cebola Lidon","Benilde Simões Mendes"
"1º Sem",9800,"BPLR","Bases da Programação em Lógica com Restrições","Mestrado em Lógica Computacional","Marco Alberti","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7747,"BD","Bases de Dados","Licenciatura em Engenharia Informática","João Alexandre Carvalho Pinheiro Leite","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7747,"BD","Bases de Dados","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","João Alexandre Carvalho Pinheiro Leite","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7747,"BD","Bases de Dados","Mestrado em Matemática e Aplicações","João Alexandre Carvalho Pinheiro Leite","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7747,"BD","Bases de Dados","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João Alexandre Carvalho Pinheiro Leite","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",8421,"BA 1","Betão Armado I","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Valter José da Guia Lúcio","Valter José da Guia Lúcio"
"1º Sem",8421,"BA 1","Betão Armado I","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Valter José da Guia Lúcio","Valter José da Guia Lúcio"
"1º Sem",7626,"BioInf","Bio-informática","Licenciatura em Biologia Celular e Molecular","João Manuel Gonçalves Couceiro Feio de Almeida","Isabel Maria Godinho de Sá Nogueira"
"1º Sem",7626,"BioInf","Bio-informática","Licenciatura em Bioquímica","João Manuel Gonçalves Couceiro Feio de Almeida","Isabel Maria Godinho de Sá Nogueira"
"1º Sem",7626,"BioInf","Bio-informática","Programa Doutoral em Química","João Manuel Gonçalves Couceiro Feio de Almeida","Isabel Maria Godinho de Sá Nogueira"
"1º Sem",8854,"BioE","Bioenergia","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","Nuno Carlos Lapa dos Santos Nunes","Benilde Simões Mendes"
"1º Sem",7694,"BF","Biofísica","Mestrado Integrado em Engenharia Biomédica","Pedro Manuel Cardoso Vieira","Mário António Basto Forjaz Secca"
